"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Monroe County, MI"	"26115"	48	149649	32.1	0.1%
	"Montcalm County, MI"	"26117"	12	63550	Unreliable	0.0%
	"Muskegon County, MI"	"26121"	32	173693	18.4	0.1%
	"Oakland County, MI"	"26125"	56	1250836	4.5	0.1%
	"Ottawa County, MI"	"26139"	43	286383	15.0	0.1%
	"Saginaw County, MI"	"26145"	37	191934	19.3	0.1%
	"St. Clair County, MI"	"26147"	50	159350	31.4	0.1%
	"Shiawassee County, MI"	"26155"	21	68446	30.7	0.0%
	"Van Buren County, MI"	"26159"	19	75353	Unreliable	0.0%
	"Washtenaw County, MI"	"26161"	61	367627	16.6	0.1%
	"Wayne County, MI"	"26163"	631	1753616	36.0	1.3%
	"Anoka County, MN"	"27003"	31	351373	8.8	0.1%
	"Dakota County, MN"	"27037"	27	421751	6.4	0.1%
	"Hennepin County, MN"	"27053"	151	1252024	12.1	0.3%
	"Olmsted County, MN"	"27109"	11	154930	Unreliable	0.0%
	"Ramsey County, MN"	"27123"	45	547974	8.2	0.1%
	"St. Louis County, MN"	"27137"	22	200000	11.0	0.0%
	"Washington County, MN"	"27163"	15	256348	Unreliable	0.0%
	"DeSoto County, MS"	"28033"	29	178751	16.2	0.1%
	"Harrison County, MS"	"28047"	33	205027	16.1	0.1%
	"Hinds County, MS"	"28049"	18	239497	Unreliable	0.0%
	"Jackson County, MS"	"28059"	13	142152	Unreliable	0.0%
	"Pearl River County, MS"	"28109"	13	55270	Unreliable	0.0%
	"Rankin County, MS"	"28121"	11	152080	Unreliable	0.0%
	"Boone County, MO"	"29019"	18	178271	Unreliable	0.0%
	"Clay County, MO"	"29047"	15	242874	Unreliable	0.0%
	"Franklin County, MO"	"29071"	24	103330	23.2	0.1%
	"Greene County, MO"	"29077"	57	289805	19.7	0.1%
	"Jackson County, MO"	"29095"	60	698895	8.6	0.1%
	"Jefferson County, MO"	"29099"	76	223810	34.0	0.2%
	"Lincoln County, MO"	"29113"	12	56183	Unreliable	0.0%
