Total Pop,Total Male Pop,Male 18-24 <9th,Male 18-24 no diploma,Male 18-24 HS grad or equiv,"Male 18-24 Some college, no degree",Male 18-24 Associates,Male 18-24 Bachelors,Male 18-24 Grad or Professional,Total Female Pop,Female 18-24 <9th,Female 18-24 no diploma,Female 18-24 HS grad or equiv,"Female 18-24 Some college, no degree",Female 18-24 Associates,Female 18-24 Bachelors,Female 18-24 Grad or Professional,25+ no schooling,25+ nursery school,25+ Kindergarten,25+ 1st grade,25+ 2nd grade,25+ 3rd grade,25+ 4th grade,25+ 5th grade,25+ 6th grade,25+ 7th grade,25+ 8th grade,25+ 9th grade,25+ 10th grade,25+ 11th grade,25+ 12th grade no diploma,25+ high school diploma,25+ GED or equivalent,25+ some college <1 yr,25+ some college >1 yr no degree,25+ Associates Degree,25+ Bachelors Degree,25+ Masters Degree,25+ Professional Degree,25+ PhD,County Name,County Code,state
12140.0,9400.0,0.0,114.0,327.0,301.0,0.0,32.0,0.0,641.0,0.0,0.0,219.0,293.0,38.0,91.0,0.0,124.0,24.0,0.0,36.0,79.0,67.0,217.0,86.0,173.0,100.0,164.0,320.0,85.0,205.0,0.0,3013.0,150.0,85.0,1210.0,920.0,844.0,50.0,0.0,33.0,"Florida Municipio, Puerto Rico",054,72
40978.0,32528.0,0.0,152.0,318.0,960.0,388.0,151.0,0.0,1865.0,0.0,85.0,249.0,1054.0,312.0,140.0,25.0,712.0,14.0,0.0,169.0,457.0,557.0,1007.0,599.0,1035.0,746.0,733.0,1401.0,696.0,422.0,234.0,5760.0,483.0,106.0,2369.0,4066.0,5196.0,1537.0,141.0,254.0,"Hatillo Municipio, Puerto Rico",065,72
54736.0,43426.0,61.0,278.0,790.0,1194.0,219.0,25.0,0.0,2650.0,0.0,171.0,788.0,1331.0,212.0,148.0,0.0,888.0,0.0,0.0,272.0,252.0,540.0,622.0,704.0,852.0,770.0,1124.0,1339.0,668.0,1091.0,305.0,11004.0,663.0,539.0,3687.0,4173.0,6418.0,1621.0,214.0,463.0,"Humacao Municipio, Puerto Rico",069,72
47952.0,36683.0,104.0,200.0,786.0,1076.0,150.0,188.0,17.0,2496.0,24.0,80.0,682.0,1326.0,82.0,285.0,17.0,588.0,13.0,0.0,154.0,243.0,410.0,643.0,303.0,782.0,587.0,707.0,1288.0,927.0,924.0,233.0,9919.0,584.0,433.0,2459.0,3047.0,5825.0,882.0,446.0,269.0,"Juana Díaz Municipio, Puerto Rico",075,72
31785.0,24396.0,0.0,190.0,416.0,815.0,208.0,78.0,0.0,1685.0,46.0,134.0,343.0,846.0,262.0,54.0,0.0,554.0,0.0,25.0,251.0,274.0,359.0,653.0,292.0,1012.0,461.0,647.0,1061.0,376.0,703.0,157.0,5184.0,203.0,194.0,2657.0,2371.0,2845.0,629.0,0.0,96.0,"Morovis Municipio, Puerto Rico",101,72
79615.0,64919.0,218.0,530.0,1442.0,4026.0,124.0,219.0,0.0,5920.0,156.0,447.0,1202.0,3512.0,47.0,556.0,0.0,1608.0,14.0,0.0,330.0,471.0,809.0,1129.0,975.0,2016.0,1080.0,1495.0,2629.0,1002.0,1180.0,368.0,12644.0,2786.0,1079.0,5459.0,2911.0,8641.0,2379.0,415.0,1020.0,"Mayagüez Municipio, Puerto Rico",097,72
22475.0,16997.0,11.0,272.0,469.0,324.0,49.0,37.0,0.0,1189.0,0.0,86.0,390.0,604.0,65.0,44.0,0.0,243.0,0.0,0.0,116.0,70.0,136.0,219.0,126.0,406.0,424.0,360.0,408.0,84.0,469.0,71.0,5087.0,210.0,191.0,1317.0,1254.0,2372.0,858.0,107.0,118.0,"Santa Isabel Municipio, Puerto Rico",133,72
69478.0,54493.0,122.0,179.0,1047.0,1786.0,214.0,108.0,0.0,3342.0,13.0,194.0,574.0,2097.0,137.0,327.0,0.0,884.0,0.0,0.0,38.0,265.0,535.0,694.0,485.0,1019.0,646.0,848.0,1330.0,408.0,572.0,192.0,10793.0,782.0,815.0,5491.0,5246.0,11623.0,3521.0,732.0,776.0,"Trujillo Alto Municipio, Puerto Rico",139,72
24548.0,19299.0,120.0,89.0,389.0,591.0,0.0,45.0,0.0,1151.0,83.0,72.0,217.0,586.0,99.0,94.0,0.0,761.0,0.0,0.0,195.0,186.0,254.0,296.0,109.0,673.0,273.0,426.0,650.0,350.0,584.0,188.0,4822.0,191.0,138.0,1790.0,2087.0,2321.0,380.0,43.0,197.0,"Quebradillas Municipio, Puerto Rico",115,72
42623.0,33151.0,231.0,359.0,1061.0,591.0,195.0,30.0,0.0,1994.0,15.0,261.0,657.0,901.0,76.0,84.0,0.0,664.0,39.0,0.0,122.0,236.0,288.0,450.0,318.0,922.0,574.0,793.0,987.0,589.0,811.0,470.0,9825.0,650.0,698.0,2485.0,2281.0,4455.0,876.0,89.0,68.0,"Guayama Municipio, Puerto Rico",057,72
