STCOUNTYFP,County,Deaths,Population,Crude Rate,% of Total Deaths
37169,"Stokes County, NC",19,45717,Unreliable,0.00%
37171,"Surry County, NC",14,72224,Unreliable,0.00%
37179,"Union County, NC",29,231366,12.5,0.10%
37181,"Vance County, NC",14,44211,Unreliable,0.00%
37183,"Wake County, NC",118,1072203,11,0.20%
37191,"Wayne County, NC",20,124172,16.1,0.00%
37193,"Wilkes County, NC",14,68576,Unreliable,0.00%
37195,"Wilson County, NC",11,81671,Unreliable,0.00%
38017,"Cass County, ND",11,177787,Unreliable,0.00%
39001,"Adams County, OH",14,27726,Unreliable,0.00%
39003,"Allen County, OH",33,103198,32,0.10%
39007,"Ashtabula County, OH",35,97807,35.8,0.10%
39015,"Brown County, OH",21,43576,48.2,0.00%
39017,"Butler County, OH",235,380604,61.7,0.50%
39021,"Champaign County, OH",16,38840,Unreliable,0.00%
39023,"Clark County, OH",86,134557,63.9,0.20%
39025,"Clermont County, OH",83,204214,40.6,0.20%
39027,"Clinton County, OH",28,42009,66.7,0.10%
39029,"Columbiana County, OH",14,103077,Unreliable,0.00%
39033,"Crawford County, OH",18,41746,Unreliable,0.00%
39035,"Cuyahoga County, OH",522,1248514,41.8,1.10%
39037,"Darke County, OH",27,51536,52.4,0.10%
39041,"Delaware County, OH",27,200464,13.5,0.10%
39043,"Erie County, OH",25,74817,33.4,0.10%
39045,"Fairfield County, OH",39,154733,25.2,0.10%
39047,"Fayette County, OH",28,28752,97.4,0.10%
39049,"Franklin County, OH",405,1291981,31.3,0.90%
39053,"Gallia County, OH",18,29973,Unreliable,0.00%
39055,"Geauga County, OH",24,93918,25.6,0.10%
39057,"Greene County, OH",57,166752,34.2,0.10%
39061,"Hamilton County, OH",424,813822,52.1,0.90%
39063,"Hancock County, OH",30,75754,39.6,0.10%
39071,"Highland County, OH",26,42971,60.5,0.10%
39077,"Huron County, OH",27,58494,46.2,0.10%
39081,"Jefferson County, OH",17,66359,Unreliable,0.00%
39083,"Knox County, OH",12,61261,Unreliable,0.00%
39085,"Lake County, OH",87,230117,37.8,0.20%
39087,"Lawrence County, OH",29,60249,48.1,0.10%
39089,"Licking County, OH",27,173448,15.6,0.10%
39091,"Logan County, OH",17,45325,Unreliable,0.00%
39093,"Lorain County, OH",109,307924,35.4,0.20%
39095,"Lucas County, OH",137,430887,31.8,0.30%
39097,"Madison County, OH",16,44036,Unreliable,0.00%
39099,"Mahoning County, OH",101,229796,44,0.20%
39101,"Marion County, OH",29,64967,44.6,0.10%
39103,"Medina County, OH",32,178371,17.9,0.10%
39109,"Miami County, OH",41,105122,39,0.10%
39113,"Montgomery County, OH",472,531542,88.8,1.00%
39131,"Pike County, OH",15,28270,Unreliable,0.00%
39133,"Portage County, OH",31,162277,19.1,0.10%
39135,"Preble County, OH",25,41120,60.8,0.10%
39139,"Richland County, OH",47,120589,39,0.10%
39141,"Ross County, OH",24,77313,31,0.10%
39143,"Sandusky County, OH",16,59195,Unreliable,0.00%
39145,"Scioto County, OH",34,75929,44.8,0.10%
39147,"Seneca County, OH",16,55243,Unreliable,0.00%
